episodio,recompensa,epsilon,tubos_pasados
8605,-5.10,0.6503,0
8606,-3.90,0.6503,0
8607,-6.30,0.6503,0
8608,-2.10,0.6502,0
8609,-4.50,0.6502,0
8610,-5.70,0.6502,0
8611,-5.70,0.6501,0
8612,-3.30,0.6501,0
8613,-4.50,0.6501,0
8614,-7.50,0.6500,0
8615,-5.70,0.6500,0
8616,-6.90,0.6500,0
8617,-6.30,0.6499,0
8618,-7.50,0.6499,0
8619,-6.90,0.6499,0
8620,-6.30,0.6499,0
8621,-3.90,0.6498,0
8622,-6.30,0.6498,0
8623,-5.70,0.6498,0
8624,-5.70,0.6497,0
8625,-4.50,0.6497,0
8626,-6.30,0.6497,0
8627,-3.30,0.6496,0
8628,3.90,0.6496,3
8629,-5.10,0.6496,0
8630,-1.50,0.6495,0
8631,-5.70,0.6495,0
8632,-6.90,0.6495,0
8633,3.90,0.6494,3
8634,-8.10,0.6494,0
8635,-5.70,0.6494,0
8636,-6.30,0.6493,0
8637,-5.10,0.6493,0
8638,-4.50,0.6493,0
8639,-3.90,0.6492,0
8640,-3.90,0.6492,0
8641,-4.50,0.6492,0
8642,-5.10,0.6491,0
8643,-6.30,0.6491,0
8644,-6.90,0.6491,0
8645,-0.90,0.6490,0
8646,-2.70,0.6490,0
8647,-7.50,0.6490,0
8648,3.30,0.6489,3
8649,-3.90,0.6489,0
8650,-5.70,0.6489,0
8651,-7.50,0.6488,0
8652,-7.50,0.6488,0
8653,-6.30,0.6488,0
8654,0.90,0.6487,0
8655,-2.70,0.6487,0
8656,-4.50,0.6487,0
8657,-5.10,0.6487,0
8658,-0.30,0.6486,0
8659,-0.30,0.6486,0
8660,-5.70,0.6486,0
8661,-5.10,0.6485,0
8662,-6.90,0.6485,0
8663,-6.90,0.6485,0
8664,-7.50,0.6484,0
8665,-2.70,0.6484,0
8666,-2.70,0.6484,0
8667,-4.50,0.6483,0
8668,-6.90,0.6483,0
8669,-5.10,0.6483,0
8670,-2.10,0.6482,0
8671,-6.30,0.6482,0
8672,-7.50,0.6482,0
8673,-6.90,0.6481,0
8674,-4.50,0.6481,0
8675,-4.50,0.6481,0
8676,-7.50,0.6480,0
8677,-6.90,0.6480,0
8678,-6.30,0.6480,0
8679,-4.50,0.6479,0
8680,3.30,0.6479,3
8681,-2.10,0.6479,0
8682,-4.50,0.6478,0
8683,-6.90,0.6478,0
